X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
1678.36141190113,-23412.9888789372,0,AcDbEntity:AcDbPoint,,,61AB,
1010.27355612564,-23753.1657485367,0,AcDbEntity:AcDbPoint,,,61AC,
2850.66667765222,-22619.2429429899,0,AcDbEntity:AcDbPoint,,,61AD,
2800.24488666822,-21712.1046706171,0,AcDbEntity:AcDbPoint,,,61AE,
3317.06761942385,-21245.9364402579,0,AcDbEntity:AcDbPoint,,,61AF,
2447.29284964455,-20691.5742014959,0,AcDbEntity:AcDbPoint,,,61B0,
1703.57230739313,-21472.7209734318,0,AcDbEntity:AcDbPoint,,,61B1,
140.498536414292,-21863.2943593997,0,AcDbEntity:AcDbPoint,,,61B2,
-23.371909385547,-21220.7381122351,0,AcDbEntity:AcDbPoint,,,61B3,
52.2605271583889,-20112.0136347112,0,AcDbEntity:AcDbPoint,,,61B4,
-1019.20115662477,-19923.0264538943,0,AcDbEntity:AcDbPoint,,,61B5,
-1460.39145283646,-20754.5698818758,0,AcDbEntity:AcDbPoint,,,61B6,
-2431.00980458368,-21094.7467514753,0,AcDbEntity:AcDbPoint,,,61B7,
-1384.75876636046,-18600.1164675307,0,AcDbEntity:AcDbPoint,,,61B8,
-590.616433125106,-18776.5044843362,0,AcDbEntity:AcDbPoint,,,61B9,
644.715946389944,-18549.7199511622,0,AcDbEntity:AcDbPoint,,,61BA,
1514.49071616924,-18990.6898534987,0,AcDbEntity:AcDbPoint,,,61BB,
3722.63760032668,-18851.6361590875,0,AcDbEntity:AcDbPoint,,,61BC,
-4907.07509528083,-21500.4749754299,0,AcDbEntity:AcDbPoint,,,61BD,
-6180.72155770502,-21345.716813197,0,AcDbEntity:AcDbPoint,,,61BE,
-6680.19075865572,-20816.5436837618,0,AcDbEntity:AcDbPoint,,,61BF,
-7369.45810600842,-19883.0023673998,0,AcDbEntity:AcDbPoint,,,61C0,
-4372.64315023646,-19937.9166035614,0,AcDbEntity:AcDbPoint,,,61C1,
-3763.1266196947,-19445.5857136974,0,AcDbEntity:AcDbPoint,,,61C2,
-4515.85946162144,-18933.3424402779,0,AcDbEntity:AcDbPoint,,,61C3,
-5420.74068642134,-19501.6123391873,0,AcDbEntity:AcDbPoint,,,61C4,
-6413.70746192866,-19093.4185330601,0,AcDbEntity:AcDbPoint,,,61C5,
-7414.68206021521,-17852.8292679491,0,AcDbEntity:AcDbPoint,,,61C6,
-3723.98676130298,-17430.5319742213,0,AcDbEntity:AcDbPoint,,,61C7,
-2354.33790065721,-16607.8002229301,0,AcDbEntity:AcDbPoint,,,61C8,
-9530.73598322703,-19203.4199257737,0,AcDbEntity:AcDbPoint,,,61C9,
-10427.0627838614,-19178.2548409277,0,AcDbEntity:AcDbPoint,,,61CA,
-10789.6219588317,-18352.8377952072,0,AcDbEntity:AcDbPoint,,,61CB,
-7951.93423847563,-16851.1330139725,0,AcDbEntity:AcDbPoint,,,61CC,
-9246.5002631484,-16292.9715550036,0,AcDbEntity:AcDbPoint,,,61CD,
-7672.71415471204,-15790.6260882866,0,AcDbEntity:AcDbPoint,,,61CE,
-6799.51681548392,-16074.7810814214,0,AcDbEntity:AcDbPoint,,,61CF,
-6185.2325812176,-15876.8875227634,0,AcDbEntity:AcDbPoint,,,61D0,
-16154.0724359166,-17774.1849906329,0,AcDbEntity:AcDbPoint,,,61D1,
-16923.9908553128,-17252.4667134362,0,AcDbEntity:AcDbPoint,,,61D2,
-16989.2381154484,-16365.5458796531,0,AcDbEntity:AcDbPoint,,,61D3,
-16232.3691480794,-15817.741765419,0,AcDbEntity:AcDbPoint,,,61D4,
-15057.9172159783,-16143.8157061266,0,AcDbEntity:AcDbPoint,,,61D5,
-14744.7301173955,-17174.2090626469,0,AcDbEntity:AcDbPoint,,,61D6,
-13713.8221575927,-17695.9272001664,0,AcDbEntity:AcDbPoint,,,61D7,
-13544.1792812402,-16288.7394751119,0,AcDbEntity:AcDbPoint,,,61D8,
-12187.0347708275,-17369.853399136,0,AcDbEntity:AcDbPoint,,,61D9,
-11652.0064879195,-16000.3431833895,0,AcDbEntity:AcDbPoint,,,61DA,
-14601.1858951651,-15126.465268125,0,AcDbEntity:AcDbPoint,,,61DB,
-17054.485625516,-14982.9927453879,0,AcDbEntity:AcDbPoint,,,61DC,
-17733.0578807224,-15791.6559283817,0,AcDbEntity:AcDbPoint,,,61DD,
