"ID";"Year";"global_id";"AdmArea";"District";"Address";"EstimatedindexValue";"PollutionCategory";"PollutionLevel";"geoData";
"5960";"2020";"1088681247";"Юго-Западный административный округ";"район Южное Бутово";"город Москва, улица Поляны, владение 75, строение 1";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.5239496520237, 55.552325434566]}";
"5961";"2020";"1088681244";"Юго-Западный административный округ";"Академический район";"город Москва, Большая Черёмушкинская улица, дом 30, корпус 1";"5.2";"допустимая";"минимальный";"{type=Point, coordinates=[37.5836271684467, 55.6800476655687]}";
"5962";"2020";"1088681211";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 22, корпус 1";"2.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.5269417742859, 55.606449333427]}";
"5964";"2020";"1088698479";"Восточный административный округ";"район Вешняки";"город Москва, улица Старый Гай, дом 6, строение 2";"4.1";"допустимая";"минимальный";"{type=Point, coordinates=[37.8246135118903, 55.741123044245]}";
"5965";"2020";"1088680565";"Восточный административный округ";"район Новокосино";"город Москва, Суздальская улица, дом 3";"2.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.8461545995888, 55.7322193690306]}";
"5966";"2020";"1088680578";"Восточный административный округ";"район Косино-Ухтомский";"город Москва, улица Чёрное Озеро, дом 2";"5.1";"допустимая";"минимальный";"{type=Point, coordinates=[37.8591040551397, 55.7170432256626]}";
"5967";"2020";"1088680579";"Восточный административный округ";"район Косино-Ухтомский";"город Москва, Красковская улица, дом 141Б";"4.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.9134162069259, 55.7171901435454]}";
"5968";"2020";"1088680581";"Восточный административный округ";"район Косино-Ухтомский";"город Москва, Оренбургская улица, дом 32, строение 5";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.8760823411969, 55.711067596203]}";
"5969";"2020";"1088680562";"Восточный административный округ";"район Новокосино";"город Москва, Суздальская улица, дом 8, корпус 1";"8.6";"допустимая";"слабый";"{type=Point, coordinates=[37.8471551350524, 55.7358416659946]}";
"5970";"2020";"1088680559";"Восточный административный округ";"район Новокосино";"город Москва, Суздальская улица, дом 20А";"3.3";"допустимая";"минимальный";"{type=Point, coordinates=[37.8514532718655, 55.7429099584371]}";
"5971";"2020";"1088681081";"Юго-Восточный административный округ";"Южнопортовый район";"город Москва, улица Симоновский Вал, дом 9";"14.2";"допустимая";"слабый";"{type=Point, coordinates=[37.6644673017974, 55.7259184472801]}";
"5972";"2020";"1088681170";"Юго-Восточный административный округ";"Рязанский район";"город Москва, 4-й Вешняковский проезд, дом 8";"1.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.7960345739081, 55.7203407943382]}";
"5976";"2020";"1088681154";"Юго-Восточный административный округ";"район Печатники";"город Москва, улица Гурьянова, дом 19, корпус 2";"12.2";"допустимая";"слабый";"{type=Point, coordinates=[37.7176321313957, 55.6881080131409]}";
"5977";"2020";"1088681156";"Юго-Восточный административный округ";"район Печатники";"город Москва, улица Полбина, дом 46";"5.3";"допустимая";"минимальный";"{type=Point, coordinates=[37.7277568173814, 55.678603338497]}";
"5978";"2020";"1088681152";"Юго-Восточный административный округ";"район Печатники";"город Москва, Шоссейная улица, дом 2А";"4.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.7272814975603, 55.7020869361296]}";
"5982";"2020";"1088681144";"Юго-Восточный административный округ";"район Печатники";"город Москва, Шоссейная улица, дом 72";"6.4";"допустимая";"минимальный";"{type=Point, coordinates=[37.7188547903945, 55.6721211897434]}";
