Name;Adress;Description;Year;X;Y
"Здание мойки";"Москва, ВАО, Ивановское, пр. М. Купавенский, вл. 14А";"";2021;55.7828358;37.8392322
"Стартовая площадка";"Ремизова ул., вл. 11, корп. 2";"";;55.6763292;37.6027965
"Стартовая площадка";"Восточная ул., вл. 1";"";;55.7169477;37.6624269
"Стартовая площадка";"Авиационная ул., вл. 61 корп. 2";"";;55.8082645;37.4556169
"Стартовая площадка";"Зеленоград, вл. 927";"";;55.991893;37.21439
"Стартовая площадка";"Авиационная ул., вл. 61 корп. 1";"";;55.8082645;37.4556169
"Стартовая площадка";"Никитинская ул., вл. 21, корп. 1, 3";"";;55.8013835;37.7742158
"Стартовая площадка";"15-я Парковая ул., вл. 46Б";"";;55.7540471;37.620405
"Стартовая площадка";"15-я Парковая ул., влд. 42";"";;55.7540471;37.620405
"Стартовая площадка";"11-я Парковая ул., вл. 57";"";;52.7307739;52.2599431
"Стартовая площадка";"11-я Парковая ул., вл. 53";"";;52.7307739;52.2599431
"Стартовая площадка";"Большая Почтовая ул., вл. 61-67";"";;55.7792777;37.6965643
"Стартовая площадка";"2-я Владимирская ул., вл. 28-30";"";;44.5456592;40.7882742
"Стартовая площадка";"Артюхиной ул., вл. 24";"";;55.6957142;37.7386841
"Стартовая площадка";"Волгоградский пр-т, вл. 107, к. 4";"";;55.7074721;37.7583219
"Стартовая площадка";"Камова ул., вл. 1";"";;55.7062309;37.87055
"Стартовая площадка";"Оренбургская ул., вл. 4";"";;55.7134946;37.8568952
"Стартовая площадка";"Черное Озеро ул., вл. 8";"";;55.7157734;37.8599705
"Дорога Марьино – Саларьево";"";"В Новой Москве построили почти 14-километровый дублер Киевского и Калужского шоссе. Новая магистраль Марьино - Саларьево проходит от дороги М3 Украина - Середнево - Марьино - Десна до улицы Адмирала Корнилова в поселке Мосрентген.";2020;;
"Стартовая площадка";"Черное Озеро ул., вл. 7";"";;55.7165063;37.8617966
"Стартовая площадка";"Ливенская ул., вл. 1";"";;55.5457262;37.5625258
